2,Open,Close,High,Low,Volume,ATR,PL,pl_value,SMA_k7,SMA_k20,SMA_k50
2023-05-29 19:03:00,420.92,421.05,421.05,420.92,35.0,0.19999999999998863,1,279.9999999999727,1.0002851711026617,1.0002851711026617,1.0002851711026617
2023-05-29 19:04:00,421.06,421.19,421.19,421.04,59.0,0.1739731780093239,1,40.000000000020464,1.000475217411966,1.000475217411966,1.000475217411966
2023-05-29 19:31:00,421.1,421.15,421.15,421.1,11.0,0.03954503159449685,0,-30.00000000002956,1.0000101775300492,1.0000614674515875,1.0000614674515875
2023-05-29 19:32:00,421.09,421.09,421.09,421.09,1.0,0.03777124126457761,0,-19.99999999998181,1.0,1.0000343036879102,1.0000343036879102
2023-05-29 19:33:00,421.07,421.07,421.07,421.07,30.0,0.03000000000000249,0,-9.999999999990905,0.9999592890511295,0.9999850008437026,0.9999850008437026
2023-05-29 19:34:00,421.07,421.07,421.07,421.07,50.0,0.03166791977470785,0,-31.667919774690745,0.9999626815035961,0.9999857507908311,0.9999857507908311
2023-05-29 19:35:00,421.07,421.07,421.07,421.07,1.0,0.03177300441450305,0,-31.773004414503703,0.9999660739790812,0.9999536915548832,0.9999864293153928
2023-05-29 19:36:00,421.06,421.06,421.06,421.02,3.0,0.031137177288959105,0,-31.137177288940165,0.9999457181823733,0.9999121342588525,0.9999632974439908
2023-05-29 19:45:00,421.05,421.05,421.05,421.05,200.0,0.024397501823722204,0,-24.397501823727907,0.9999898214685586,0.9999061957137378,0.9999515885796546
2023-05-29 19:46:00,421.02,421.02,421.02,421.02,19.0,0.022824381283019512,1,34.23657192450946,0.9999253569295912,0.9998456368666658,0.9998821343879081
2023-05-29 19:47:00,421.04,421.06,421.06,421.04,101.0,0.025875158154573235,0,-25.87515815457664,0.9999898212268137,0.9999085681173463,0.9999338416780466
2023-05-29 19:48:00,421.05,421.02,421.05,421.02,5.0,0.026313132697975312,0,-26.313132697964647,1.0000237507125214,0.9999477524033895,0.9999598720491625
2023-05-29 19:49:00,421.02,421.05,421.05,421.0,10.0,0.02604026186687747,1,39.06039280030882,0.9999558913842301,0.9998812548982354,0.999889961914156
2023-05-29 19:55:00,421.08,421.0,421.08,421.0,49.0,0.020517124090684107,0,-20.517124090702055,1.0000780367315503,1.0000463116345513,1.0000356239535464
2023-05-29 19:56:00,421.08,421.08,421.08,421.08,200.0,0.02133630931623845,0,-29.999999999972715,1.0000576781491421,1.0000463116345513,1.0000346060910792
2023-05-29 20:01:00,421.08,421.08,421.08,421.08,2.0,0.02065591117977258,1,20.000000000038654,1.0000203562340968,1.0000581871036003,1.0000341015104532
2023-05-29 20:02:00,421.06,421.08,421.08,421.06,11.0,0.02042407542932398,1,30.6361131439985,0.9999694657524487,1.0000094999240006,0.9999857504524232
2023-05-29 20:03:00,421.08,421.09,421.09,421.08,111.0,0.02042407542932398,1,30.6361131439985,1.000023749020353,1.0000581871036003,1.0000335965059632
2023-05-29 20:04:00,421.09,421.1,421.1,421.09,3.0,0.021044171232362345,1,31.56625684852088,1.0000474980407057,1.0000807493540051,1.0000565457981383
2023-05-29 20:05:00,421.12,421.12,421.12,421.12,1.0,0.01922300209445705,1,9.999999999990905,1.0001153519932147,1.0001484357837112,1.0001264783189099
